District,Location,GPS,id
Blantyre,Sunnyside,"-15.79322, 34.99650",1
Blantyre,Namiwawa,"-15.7720394, 34.99650",2
Blantyre,"Green corner,Blantyre","-15.85703, 34.97056",3
Blantyre,Mpemba,"-15.86163, 34.95643",4
Blantyre,Chiwembe,"-15.83747, 35.04914",5
Blantyre,Machinjiri Kirkrange,"-15.725352, 35.066757",6
Machinga,Liwonde,"-15.06283, 35.22668",7
Mangochi,Mangochi,"-14.47819, 35.27059",8
Mangochi,Nankumba,"-14.34206, 34.81451",9
Mangochi,Nankumba,"-14.31273, 34.80751",10
Mangochi,Nankumba,"-14.36459, 34.81661",11
Mangochi,Nankumba,"-14.36459, 34.81668",12
Mangochi,Nankumba,"-14.364346, 34.81645",13
Mangochi,Nankumba,"-14.15917, 34.93611",14
Mangochi,Nankumba,"-14.15832, 34.93425",15
Mangochi,Nankumba,"-14.15816, 34.93805",16
Mangochi,Nankumba,"-14.15784, 34.93930",17
Mangochi,Nankumba,"-14.15667, 34.93988",18
Thyolo,Luchenza,"-15.95885, 35.34105",19
Nsanje,Tengani,"-16.68252, 35.21780",20
Nsanje,Tengani,"-16.67406, 35.22760",21
Nsanje,Tengani,"-16.67729, 35.22128",22
Nsanje,Tengani,"-16.68133, 35.21293",23
Nsanje,Tengani,"-16.67600, 36.22560",24
Nsanje,Tengani,"-16.69369, 35.23846",25
Nsanje,Tengani,"-16.69086, 35.23823",26
Nsanje,Tengani,"-16.701255, 35.231452",27
Nsanje,Tengani,"-16.69310, 35.23559",28
Nsanje,Tengani,"-16.69693, 35.239567",29
Machinga,Nsanama,"-14.99453, 35.48865",30
Machinga,Nsanama,"-15.05703, 35.37098",31
Machinga,Nsanama,"-15.060510, 35.388762",32
Machinga,Nsanama,"-15.00158, 35.419491",33
Machinga,Nsanama,"-14.97926, 35.41890",34
Machinga,Nsanama,"-15.007463, 35.417098",35
Machinga,Nsanama,"-15.047603, 35.39320",36
Machinga,Nsanama,"-14.963971, 35.492728",37
Machinga,Nsanama,"-14.992479, 35.488963",38
Phalombe,Chiwalo,"-15.55281, 35.82240",39
Phalombe,Chiwalo,"-15.56660, 35.80684",40
Phalombe,Chiwalo,"-15.58782, 35.77084",41
Phalombe,Chiwalo,"-15.59841, 35.78460",42
Phalombe,Chiwalo,"-15.60034, 35.78424",43
Phalombe,Chiwalo,"-15.60790, 35.78907",44
Phalombe,Chiwalo,"-15.58931, 35.79557",45
Phalombe,Chiwalo,"-15.55408, 35.81664",46
Phalombe,Chiwalo,"-15.57021, 35.81696",47
Phalombe,Chiwalo,"-15.59436, 35.78867",48
Blantyre,Namiwawa,"-15.771822, 35.998766",49
Blantyre,Chadzunda,"-15.896965, 34.998766",50
Blantyre,Soche,"-15.864977, 35.0249391",51
Chikwawa,Kasisi,"-15.998201, 34.785152",52
